,Week 0
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Yevpatoria,-61900,98722,6009,12857,79856,92713,0,257
Yalta,-89684,71625,3266,3334,65025,68359,0,133
Feodosia,-35362,61991,7508,9991,44492,54483,0,293
Dzhankoy,-17388,35855,5586,8564,21705,30269,0,261
Alushta,-24110,27468,4976,5529,16963,22492,0,200
Bakhchysarai,-7011,24966,3449,10636,10881,21517,0,144
Krasnoperekopsk,-2198,23344,3755,10423,9166,19589,0,174
Saky,5191,23147,3178,13021,6948,19969,5,153
Armyansk,7574,20832,1981,13641,5210,18851,7,61
Sudak,8984,16253,1341,11583,3329,14912,8,54
Belogorsk,5495,15554,2955,8597,4002,12599,5,128
Shcholkine,7681,9898,982,7496,1420,8916,7,41
Staryi Krym,5527,8959,1605,5744,1610,7354,5,70
Alupka,7347,7620,892,4528,2200,6728,7,28

,Week 25
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-246555,315286,16703,60794,237789,298583,0,705
Kerch,-76600,140413,5220,23891,111302,135193,0,213
Yevpatoria,-63273,98489,4395,10639,83455,94094,0,185
Yalta,-89532,71644,1647,2906,67091,69997,0,53
Feodosia,-40146,61738,4581,8046,49111,57157,0,188
Dzhankoy,-21460,35630,4232,6578,24820,31398,0,189
Alushta,-27961,27271,4128,3971,19172,23143,0,164
Bakhchysarai,-9384,24833,3418,8967,12448,21415,0,148
Krasnoperekopsk,-4974,23282,3390,9639,10253,19892,0,134
Saky,3009,23034,3619,11563,7852,19415,3,143
Armyansk,6530,20720,2279,12697,5744,18441,6,104
Sudak,8380,16194,1363,11153,3678,14831,8,48
Belogorsk,3167,15441,2899,7781,4761,12542,3,122
Shcholkine,7138,9912,981,7230,1701,8931,7,49
Staryi Krym,4286,8906,1472,5319,2115,7434,4,58
Alupka,6784,7572,1057,4080,2435,6515,6,43

,Week 26
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-248328,314932,14335,55914,244683,300597,0,570
Kerch,-75060,140038,4254,22007,113777,135784,0,174
Yevpatoria,-62963,98341,3535,8904,85902,94806,0,136
Yalta,-87680,71584,846,2641,68097,70738,0,34
Feodosia,-41869,61740,2750,6687,52303,58990,0,101
Dzhankoy,-24122,35439,2885,5168,27386,32554,0,119
Alushta,-30932,27214,3122,2800,21292,24092,0,108
Bakhchysarai,-11731,24641,3389,7033,14219,21252,0,150
Krasnoperekopsk,-7369,23068,3170,8600,11298,19898,0,137
Saky,361,22842,4005,10003,8834,18837,0,144
Armyansk,5168,20593,2887,11410,6296,17706,5,134
Sudak,7752,16095,1591,10552,3952,14504,7,67
Belogorsk,895,15334,2821,7086,5427,12513,0,107
Shcholkine,6598,9913,1077,6863,1973,8836,6,43
Staryi Krym,3183,8845,1363,4955,2527,7482,3,62
Alupka,6047,7487,1157,3635,2695,6330,6,48

,Week 27
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-247634,314249,12935,51317,249997,301314,0,489
Kerch,-72525,139854,3816,20087,115951,136038,0,167
Yevpatoria,-61758,98239,3167,7517,87555,95072,0,117
Yalta,-84989,71562,480,2511,68571,71082,0,25
Feodosia,-41669,61620,1719,5646,54255,59901,0,75
Dzhankoy,-25380,35498,1936,4194,29368,33562,0,82
Alushta,-32849,27182,2045,2063,23074,25137,0,86
Bakhchysarai,-14058,24487,3063,5257,16167,21424,0,128
Krasnoperekopsk,-9544,22956,3184,6997,12775,19772,0,104
Saky,-2702,22560,3973,8592,9995,18587,0,192
Armyansk,3163,20441,3556,9770,7115,16885,3,150
Sudak,6880,16060,1966,9692,4402,14094,6,77
Belogorsk,-1299,15228,2689,6479,6060,12539,0,99
